,Token_ID,Token,Lemma,POS,POS_TAG,Dependency_Head,Dependency_Label,idx_sent,Negation_cue,next,prev,trigram,trigram_list,prev_bigram,prev_bigram_list,next_bigram,next_bigram_list,HECT,HECA
116,10,you,you,PRON,PRP,10,pobj,5,O,upon,as,upon you as,"['upon', 'you', 'as']",upon you,"['upon', 'you']",you as,"['you', 'as']",0,0
117,11,as,as,ADP,IN,9,prep,5,O,you,a,you as a,"['you', 'as', 'a']",you as,"['you', 'as']",as a,"['as', 'a']",0,0
118,12,a,a,DET,DT,14,det,5,O,as,man,as a man,"['as', 'a', 'man']",as a,"['as', 'a']",a man,"['a', 'man']",0,0
119,13,man,man,NOUN,NN,12,pobj,5,O,a,of,a man of,"['a', 'man', 'of']",a man,"['a', 'man']",man of,"['man', 'of']",0,0
120,14,of,of,ADP,IN,14,prep,5,O,man,letters,man of letters,"['man', 'of', 'letters']",man of,"['man', 'of']",of letters,"['of', 'letters']",0,0
121,15,letters,letter,NOUN,NNS,15,pobj,5,O,of,",","of letters ,","['of', 'letters', ',']",of letters,"['of', 'letters']","letters ,","['letters', ',']",0,0
122,16,",",",",PUNCT,",",19,punct,5,O,letters,"""","letters , ""","['letters', ',', '""']","letters ,","['letters', ',']",", ""","[',', '""']",0,0
123,17,"""","""",PUNCT,'',19,punct,5,O,",",said,", "" said","[',', '""', 'said']",", ""","[',', '""']",""" said","['""', 'said']",0,0
124,18,said,say,VERB,VBD,0,ROOT,5,O,"""",he,""" said he","['""', 'said', 'he']",""" said","['""', 'said']",said he,"['said', 'he']",0,0
125,19,he,he,PRON,PRP,19,nsubj,5,O,said,.,said he .,"['said', 'he', '.']",said he,"['said', 'he']",he .,"['he', '.']",0,0
126,20,.,.,PUNCT,.,19,punct,5,O,he,"""","he . ""","['he', '.', '""']",he .,"['he', '.']",". ""","['.', '""']",0,0
127,0,"""","""",PUNCT,``,5,punct,6,O,.,How,". "" How","['.', '""', 'How']",". ""","['.', '""']",""" How","['""', 'How']",0,0
128,1,How,how,SCONJ,WRB,5,advmod,6,O,"""",do,""" How do","['""', 'How', 'do']",""" How","['""', 'How']",How do,"['How', 'do']",0,0
129,2,do,do,AUX,VBP,5,aux,6,O,How,you,How do you,"['How', 'do', 'you']",How do,"['How', 'do']",do you,"['do', 'you']",0,0
130,3,you,you,PRON,PRP,5,nsubj,6,O,do,define,do you define,"['do', 'you', 'define']",do you,"['do', 'you']",you define,"['you', 'define']",0,0
131,4,define,define,VERB,VB,0,ROOT,6,O,you,the,you define the,"['you', 'define', 'the']",you define,"['you', 'define']",define the,"['define', 'the']",0,0
132,5,the,the,DET,DT,7,det,6,O,define,word,define the word,"['define', 'the', 'word']",define the,"['define', 'the']",the word,"['the', 'word']",0,0
133,6,word,word,NOUN,NN,5,dobj,6,O,the,"""","the word ""","['the', 'word', '""']",the word,"['the', 'word']","word ""","['word', '""']",0,0
134,7,"""","""",PUNCT,``,7,punct,6,O,word,grotesque,"word "" grotesque","['word', '""', 'grotesque']","word ""","['word', '""']",""" grotesque","['""', 'grotesque']",0,0
135,8,grotesque,grotesque,ADJ,JJ,7,appos,6,O,"""","""",""" grotesque ""","['""', 'grotesque', '""']",""" grotesque","['""', 'grotesque']","grotesque ""","['grotesque', '""']",0,0
136,9,"""","""",PUNCT,'',5,punct,6,O,grotesque,?,"grotesque "" ?","['grotesque', '""', '?']","grotesque ""","['grotesque', '""']",""" ?","['""', '?']",0,0
137,10,?,?,PUNCT,.,5,punct,6,O,"""","""",""" ? ""","['""', '?', '""']",""" ?","['""', '?']","? ""","['?', '""']",0,0
138,11,"""","""",PUNCT,'',5,punct,6,O,?,"""","? "" ""","['?', '""', '""']","? ""","['?', '""']",""" ""","['""', '""']",0,0
139,0,"""","""",PUNCT,``,8,punct,7,O,"""",Strange,""" "" Strange","['""', '""', 'Strange']",""" ""","['""', '""']",""" Strange","['""', 'Strange']",0,0
140,1,Strange,strange,ADJ,JJ,4,amod,7,O,"""",--,""" Strange --","['""', 'Strange', '--']",""" Strange","['""', 'Strange']",Strange --,"['Strange', '--']",0,0
141,2,--,--,PUNCT,:,4,punct,7,O,Strange,remarkable,Strange -- remarkable,"['Strange', '--', 'remarkable']",Strange --,"['Strange', '--']",-- remarkable,"['--', 'remarkable']",0,0
142,3,remarkable,remarkable,ADJ,JJ,8,amod,7,O,--,",","-- remarkable ,","['--', 'remarkable', ',']",-- remarkable,"['--', 'remarkable']","remarkable ,","['remarkable', ',']",0,0
143,4,",",",",PUNCT,",",8,punct,7,O,remarkable,"""","remarkable , ""","['remarkable', ',', '""']","remarkable ,","['remarkable', ',']",", ""","[',', '""']",0,0
144,5,"""","""",PUNCT,``,8,punct,7,O,",",I,", "" I","[',', '""', 'I']",", ""","[',', '""']",""" I","['""', 'I']",0,0
145,6,I,I,PRON,PRP,8,nsubj,7,O,"""",suggested,""" I suggested","['""', 'I', 'suggested']",""" I","['""', 'I']",I suggested,"['I', 'suggested']",0,0
146,7,suggested,suggest,VERB,VBD,0,ROOT,7,O,I,.,I suggested .,"['I', 'suggested', '.']",I suggested,"['I', 'suggested']",suggested .,"['suggested', '.']",0,0
147,8,.,.,PUNCT,.,8,punct,7,O,suggested,He,suggested . He,"['suggested', '.', 'He']",suggested .,"['suggested', '.']",. He,"['.', 'He']",0,0
148,0,He,he,PRON,PRP,2,nsubj,8,O,.,shook,. He shook,"['.', 'He', 'shook']",. He,"['.', 'He']",He shook,"['He', 'shook']",0,0
149,1,shook,shake,VERB,VBD,0,ROOT,8,O,He,his,He shook his,"['He', 'shook', 'his']",He shook,"['He', 'shook']",shook his,"['shook', 'his']",0,0
150,2,his,his,PRON,PRP$,4,poss,8,O,shook,head,shook his head,"['shook', 'his', 'head']",shook his,"['shook', 'his']",his head,"['his', 'head']",0,0
151,3,head,head,NOUN,NN,2,dobj,8,O,his,at,his head at,"['his', 'head', 'at']",his head,"['his', 'head']",head at,"['head', 'at']",0,0
152,4,at,at,ADP,IN,2,prep,8,O,head,my,head at my,"['head', 'at', 'my']",head at,"['head', 'at']",at my,"['at', 'my']",0,0
153,5,my,my,PRON,PRP$,7,poss,8,O,at,definition,at my definition,"['at', 'my', 'definition']",at my,"['at', 'my']",my definition,"['my', 'definition']",0,0
154,6,definition,definition,NOUN,NN,5,pobj,8,O,my,.,my definition .,"['my', 'definition', '.']",my definition,"['my', 'definition']",definition .,"['definition', '.']",0,0
155,7,.,.,PUNCT,.,2,punct,8,O,definition,"""","definition . ""","['definition', '.', '""']",definition .,"['definition', '.']",". ""","['.', '""']",0,0
156,0,"""","""",PUNCT,``,11,punct,9,O,.,There,". "" There","['.', '""', 'There']",". ""","['.', '""']",""" There","['""', 'There']",0,0
157,1,There,there,PRON,EX,3,expl,9,O,"""",is,""" There is","['""', 'There', 'is']",""" There","['""', 'There']",There is,"['There', 'is']",0,0
158,2,is,be,VERB,VBZ,11,ccomp,9,O,There,surely,There is surely,"['There', 'is', 'surely']",There is,"['There', 'is']",is surely,"['is', 'surely']",0,0
159,3,surely,surely,ADV,RB,3,advmod,9,O,is,something,is surely something,"['is', 'surely', 'something']",is surely,"['is', 'surely']",surely something,"['surely', 'something']",0,0
160,4,something,something,PRON,NN,3,attr,9,O,surely,more,surely something more,"['surely', 'something', 'more']",surely something,"['surely', 'something']",something more,"['something', 'more']",0,0
161,5,more,more,ADJ,JJR,5,amod,9,O,something,than,something more than,"['something', 'more', 'than']",something more,"['something', 'more']",more than,"['more', 'than']",0,0
162,6,than,than,ADP,IN,6,prep,9,O,more,that,more than that,"['more', 'than', 'that']",more than,"['more', 'than']",than that,"['than', 'that']",0,0
163,7,that,that,PRON,DT,7,pobj,9,O,than,",","than that ,","['than', 'that', ',']",than that,"['than', 'that']","that ,","['that', ',']",0,0
