,Token_ID,Token,Lemma,POS,POS_TAG,Dependency_Head,Dependency_Label,idx_sent,Negation_cue,next,prev,HECT,HECA
79,20,"""","""",PUNCT,``,23,punct,3,O,a,Penang,0,0
80,21,Penang,Penang,PROPN,NNP,23,compound,3,O,"""",lawyer,0,0
81,22,lawyer,lawyer,NOUN,NN,19,pobj,3,O,Penang,.,0,0
82,23,.,.,PUNCT,.,2,punct,3,O,lawyer,"""",0,0
83,24,"""","""",PUNCT,'',2,punct,3,O,.,Just,0,0
84,0,Just,just,ADV,RB,2,advmod,4,O,"""",under,0,0
85,1,under,under,ADP,IN,5,prep,4,O,Just,the,0,0
86,2,the,the,DET,DT,4,det,4,O,under,head,0,0
87,3,head,head,NOUN,NN,2,pobj,4,O,the,was,0,0
88,4,was,be,AUX,VBD,0,ROOT,4,O,head,a,0,0
89,5,a,a,DET,DT,9,det,4,O,was,broad,0,0
90,6,broad,broad,ADJ,JJ,9,amod,4,O,a,silver,0,0
91,7,silver,silver,NOUN,NN,9,compound,4,O,broad,band,0,0
92,8,band,band,NOUN,NN,5,attr,4,O,silver,nearly,0,0
93,9,nearly,nearly,ADV,RB,12,advmod,4,O,band,an,0,0
94,10,an,an,DET,DT,12,det,4,O,nearly,inch,0,0
95,11,inch,inch,NOUN,NN,13,npadvmod,4,O,an,across,0,0
96,12,across,across,ADV,RB,5,advmod,4,O,inch,.,0,0
97,13,.,.,PUNCT,.,5,punct,4,O,across,"""",0,0
98,0,"""","""",PUNCT,``,17,punct,5,O,.,To,0,0
99,1,To,to,ADP,IN,17,prep,5,O,"""",James,0,0
100,2,James,James,PROPN,NNP,4,compound,5,O,To,Mortimer,0,0
101,3,Mortimer,Mortimer,PROPN,NNP,2,pobj,5,O,James,",",0,0
102,4,",",",",PUNCT,",",4,punct,5,O,Mortimer,M.R.C.S.,0,0
103,5,M.R.C.S.,M.R.C.S.,PROPN,NNP,4,appos,5,O,",",",",0,0
104,6,",",",",PUNCT,",",2,punct,5,O,M.R.C.S.,from,0,0
105,7,from,from,ADP,IN,17,prep,5,O,",",his,0,0
106,8,his,his,PRON,PRP$,10,poss,5,O,from,friends,0,0
107,9,friends,friend,NOUN,NNS,8,pobj,5,O,his,of,0,0
108,10,of,of,ADP,IN,10,prep,5,O,friends,the,0,0
109,11,the,the,DET,DT,13,det,5,O,of,C.C.H.,0,0
110,12,C.C.H.,c.c.h.,NOUN,NN,11,pobj,5,O,the,",",0,0
111,13,",",",",PUNCT,",",17,punct,5,O,C.C.H.,"""",0,0
112,14,"""","""",PUNCT,'',17,punct,5,O,",",was,0,0
113,15,was,be,AUX,VBD,17,auxpass,5,O,"""",engraved,0,0
114,16,engraved,engrave,VERB,VBN,0,ROOT,5,O,was,upon,0,0
115,17,upon,upon,SCONJ,IN,17,prep,5,O,engraved,it,0,0
116,18,it,it,PRON,PRP,18,pobj,5,O,upon,",",0,0
117,19,",",",",PUNCT,",",17,punct,5,O,it,with,0,0
118,20,with,with,ADP,IN,17,prep,5,O,",",the,0,0
119,21,the,the,DET,DT,23,det,5,O,with,date,0,0
120,22,date,date,NOUN,NN,21,pobj,5,O,the,"""",0,0
121,23,"""","""",PUNCT,'',23,punct,5,O,date,1884,0,0
122,24,1884,1884,NUM,CD,23,npadvmod,5,O,"""",.,0,0
123,25,.,.,PUNCT,.,17,punct,5,O,1884,"""",0,0
124,26,"""","""",PUNCT,'',17,punct,5,O,.,It,0,0
125,0,It,it,PRON,PRP,2,nsubj,6,O,"""",was,0,0
126,1,was,be,AUX,VBD,0,ROOT,6,O,It,just,0,0
127,2,just,just,ADV,RB,6,advmod,6,O,was,such,0,0
128,3,such,such,DET,PDT,6,predet,6,O,just,a,0,0
129,4,a,a,DET,DT,6,det,6,O,such,stick,0,0
130,5,stick,stick,NOUN,NN,2,attr,6,O,a,as,0,0
131,6,as,as,SCONJ,IN,12,mark,6,O,stick,the,0,0
132,7,the,the,DET,DT,11,det,6,O,as,old-fashioned,0,0
133,8,old-fashioned,old-fashioned,ADJ,JJ,10,amod,6,O,the,family,0,0
134,9,family,family,NOUN,NN,11,compound,6,O,old-fashioned,practitioner,0,0
135,10,practitioner,practitioner,NOUN,NN,12,nsubj,6,O,family,used,0,0
136,11,used,use,VERB,VBD,2,advcl,6,O,practitioner,to,0,0
137,12,to,to,PART,TO,14,aux,6,O,used,carry,0,0
138,13,carry,carry,VERB,VB,12,xcomp,6,O,to,--,0,0
139,14,--,--,PUNCT,:,14,punct,6,O,carry,dignified,0,0
140,15,dignified,dignified,ADJ,JJ,2,acomp,6,O,--,",",0,0
141,16,",",",",PUNCT,",",16,punct,6,O,dignified,solid,0,0
142,17,solid,solid,ADJ,JJ,16,conj,6,O,",",",",0,0
143,18,",",",",PUNCT,",",18,punct,6,O,solid,and,0,0
144,19,and,and,CCONJ,CC,18,cc,6,O,",",reassuring,0,0
145,20,reassuring,reassuring,ADJ,JJ,18,conj,6,O,and,.,0,0
146,21,.,.,PUNCT,.,2,punct,6,O,reassuring,"""",0,0
147,0,"""","""",PUNCT,``,9,punct,7,O,.,Well,0,0
148,1,Well,well,INTJ,UH,9,intj,7,O,"""",",",0,0
149,2,",",",",PUNCT,",",9,punct,7,O,Well,Watson,0,0
150,3,Watson,Watson,PROPN,NNP,9,npadvmod,7,O,",",",",0,0
151,4,",",",",PUNCT,",",9,punct,7,O,Watson,what,0,0
152,5,what,what,PRON,WP,9,dobj,7,O,",",do,0,0
153,6,do,do,AUX,VBP,9,aux,7,O,what,you,0,0
154,7,you,you,PRON,PRP,9,nsubj,7,O,do,make,0,0
155,8,make,make,VERB,VB,0,ROOT,7,O,you,of,0,0
156,9,of,of,ADP,IN,9,prep,7,O,make,it,0,0
157,10,it,it,PRON,PRP,10,pobj,7,O,of,?,0,0
158,11,?,?,PUNCT,.,9,punct,7,O,it,"""",0,0
159,12,"""","""",PUNCT,'',9,punct,7,O,?,Holmes,0,0
160,0,Holmes,Holmes,PROPN,NNP,3,nsubj,8,O,"""",was,0,0
161,1,was,be,AUX,VBD,3,aux,8,O,Holmes,sitting,0,0
162,2,sitting,sit,VERB,VBG,0,ROOT,8,O,was,with,0,0
163,3,with,with,ADP,IN,3,prep,8,O,sitting,his,0,0
164,4,his,his,PRON,PRP$,6,poss,8,O,with,back,0,0
165,5,back,back,NOUN,NN,4,pobj,8,O,his,to,0,0
166,6,to,to,ADP,IN,6,prep,8,O,back,me,0,0
167,7,me,I,PRON,PRP,7,pobj,8,O,to,",",0,0
168,8,",",",",PUNCT,",",3,punct,8,O,me,and,0,0
169,9,and,and,CCONJ,CC,3,cc,8,O,",",I,0,0
170,10,I,I,PRON,PRP,13,nsubj,8,O,and,had,0,0
171,11,had,have,AUX,VBD,13,aux,8,O,I,given,0,0
172,12,given,give,VERB,VBN,3,conj,8,O,had,him,0,0
173,13,him,he,PRON,PRP,13,dative,8,O,given,no,0,0
174,14,no,no,DET,DT,16,det,8,B-NEG,him,sign,1,0
175,15,sign,sign,NOUN,NN,13,dobj,8,O,no,of,0,0
176,16,of,of,ADP,IN,16,prep,8,O,sign,my,0,0
177,17,my,my,PRON,PRP$,19,poss,8,O,of,occupation,0,0
178,18,occupation,occupation,NOUN,NN,17,pobj,8,O,my,.,0,0
179,19,.,.,PUNCT,.,13,punct,8,O,occupation,"""",0,0
180,0,"""","""",PUNCT,``,5,punct,9,O,.,How,0,0
181,1,How,how,SCONJ,WRB,5,advmod,9,O,"""",did,0,0
182,2,did,do,AUX,VBD,5,aux,9,O,How,you,0,0
183,3,you,you,PRON,PRP,5,nsubj,9,O,did,know,0,0
184,4,know,know,VERB,VB,0,ROOT,9,O,you,what,0,0
185,5,what,what,PRON,WP,9,dobj,9,O,know,I,0,0
186,6,I,I,PRON,PRP,9,nsubj,9,O,what,was,0,0
187,7,was,be,AUX,VBD,9,aux,9,O,I,doing,0,0
188,8,doing,do,VERB,VBG,5,ccomp,9,O,was,?,0,0
189,9,?,?,PUNCT,.,5,punct,9,O,doing,I,0,0
190,0,I,I,PRON,PRP,2,nsubj,10,O,?,believe,0,0
191,1,believe,believe,VERB,VBP,0,ROOT,10,O,I,you,0,0
192,2,you,you,PRON,PRP,4,nsubj,10,O,believe,have,0,0
193,3,have,have,VERB,VBP,2,ccomp,10,O,you,eyes,0,0
194,4,eyes,eye,NOUN,NNS,4,dobj,10,O,have,in,0,0
195,5,in,in,ADP,IN,4,prep,10,O,eyes,the,0,0
196,6,the,the,DET,DT,8,det,10,O,in,back,0,0
197,7,back,back,NOUN,NN,6,pobj,10,O,the,of,0,0
198,8,of,of,ADP,IN,8,prep,10,O,back,your,0,0
199,9,your,your,PRON,PRP$,11,poss,10,O,of,head,0,0
200,10,head,head,NOUN,NN,9,pobj,10,O,your,.,0,0
201,11,.,.,PUNCT,.,2,punct,10,O,head,"""",0,0
202,12,"""","""",PUNCT,'',2,punct,10,O,.,"""",0,0
203,0,"""","""",PUNCT,``,19,punct,11,O,"""",I,0,0
204,1,I,I,PRON,PRP,3,nsubj,11,O,"""",have,0,0
205,2,have,have,VERB,VBP,19,ccomp,11,O,I,",",0,0
206,3,",",",",PUNCT,",",3,punct,11,O,have,at,0,0
207,4,at,at,ADP,IN,6,advmod,11,O,",",least,0,0
208,5,least,least,ADJ,JJS,3,advmod,11,O,at,",",0,0
209,6,",",",",PUNCT,",",3,punct,11,O,least,a,0,0
210,7,a,a,DET,DT,12,det,11,O,",",well-polished,0,0
211,8,well-polished,well-polished,ADJ,JJ,12,amod,11,O,a,",",0,0
212,9,",",",",PUNCT,",",9,punct,11,O,well-polished,silver-plated,0,0
213,10,silver-plated,silver-plated,ADJ,JJ,12,amod,11,O,",",coffee-pot,0,0
214,11,coffee-pot,coffee-pot,NOUN,NN,3,dobj,11,O,silver-plated,in,0,0
215,12,in,in,ADP,IN,12,prep,11,O,coffee-pot,front,0,0
216,13,front,front,NOUN,NN,13,pobj,11,O,in,of,0,0
217,14,of,of,ADP,IN,14,prep,11,O,front,me,0,0
218,15,me,I,PRON,PRP,15,pobj,11,O,of,",",0,0
219,16,",",",",PUNCT,",",19,punct,11,O,me,"""",0,0
220,17,"""","""",PUNCT,'',19,punct,11,O,",",said,0,0
221,18,said,say,VERB,VBD,0,ROOT,11,O,"""",he,0,0
222,19,he,he,PRON,PRP,19,nsubj,11,O,said,.,0,0
223,20,.,.,PUNCT,.,19,punct,11,O,he,"""",0,0
224,0,"""","""",PUNCT,``,4,punct,12,O,.,But,0,0
225,1,But,but,CCONJ,CC,4,cc,12,O,"""",",",0,0
226,2,",",",",PUNCT,",",4,punct,12,O,But,tell,0,0
227,3,tell,tell,VERB,VB,0,ROOT,12,O,",",me,0,0
228,4,me,I,PRON,PRP,4,dobj,12,O,tell,",",0,0
229,5,",",",",PUNCT,",",4,punct,12,O,me,Watson,0,0
230,6,Watson,Watson,PROPN,NNP,12,npadvmod,12,O,",",",",0,0
231,7,",",",",PUNCT,",",12,punct,12,O,Watson,what,0,0
232,8,what,what,PRON,WP,12,dobj,12,O,",",do,0,0
233,9,do,do,AUX,VBP,12,aux,12,O,what,you,0,0
234,10,you,you,PRON,PRP,12,nsubj,12,O,do,make,0,0
235,11,make,make,VERB,VB,4,ccomp,12,O,you,of,0,0
236,12,of,of,ADP,IN,12,prep,12,O,make,our,0,0
237,13,our,our,PRON,PRP$,15,poss,12,O,of,visitor,0,0
238,14,visitor,visitor,NOUN,NN,17,poss,12,O,our,'s,0,0
239,15,'s,'s,PART,POS,15,case,12,O,visitor,stick,0,0
240,16,stick,stick,NOUN,NN,13,pobj,12,O,'s,?,0,0
241,17,?,?,PUNCT,.,4,punct,12,O,stick,Since,0,0
242,0,Since,since,SCONJ,IN,4,mark,13,O,?,we,0,0
243,1,we,we,PRON,PRP,4,nsubj,13,O,Since,have,0,0
244,2,have,have,AUX,VBP,4,aux,13,O,we,been,0,0
245,3,been,be,AUX,VBN,22,advcl,13,O,have,so,0,0
246,4,so,so,ADV,RB,6,advmod,13,O,been,unfortunate,0,0
247,5,unfortunate,unfortunate,ADJ,JJ,4,acomp,13,B-NEG,so,as,0,1
248,6,as,as,SCONJ,IN,9,mark,13,O,unfortunate,to,0,0
249,7,to,to,PART,TO,9,aux,13,O,as,miss,0,0
250,8,miss,miss,VERB,VB,4,advcl,13,O,to,him,0,0
251,9,him,he,PRON,PRP,9,dobj,13,O,miss,and,0,0
252,10,and,and,CCONJ,CC,9,cc,13,O,him,have,0,0
253,11,have,have,VERB,VBP,9,conj,13,O,and,no,0,0
254,12,no,no,DET,DT,14,det,13,B-NEG,have,notion,1,0
255,13,notion,notion,NOUN,NN,12,dobj,13,O,no,of,0,0
256,14,of,of,ADP,IN,14,prep,13,O,notion,his,0,0
257,15,his,his,PRON,PRP$,17,poss,13,O,of,errand,0,0
258,16,errand,errand,NOUN,NN,15,pobj,13,O,his,",",0,0
259,17,",",",",PUNCT,",",22,punct,13,O,errand,this,0,0
260,18,this,this,DET,DT,21,det,13,O,",",accidental,0,0
261,19,accidental,accidental,ADJ,JJ,21,amod,13,O,this,souvenir,0,0
262,20,souvenir,souvenir,NOUN,NN,22,nsubj,13,O,accidental,becomes,0,0
263,21,becomes,become,VERB,VBZ,0,ROOT,13,O,souvenir,of,0,0
264,22,of,of,ADP,IN,22,prep,13,O,becomes,importance,0,0
265,23,importance,importance,NOUN,NN,23,pobj,13,O,of,.,0,0
266,24,.,.,PUNCT,.,22,punct,13,O,importance,Let,0,0
267,0,Let,let,VERB,VB,0,ROOT,14,O,.,me,0,0
268,1,me,I,PRON,PRP,3,nsubj,14,O,Let,hear,0,0
269,2,hear,hear,VERB,VB,1,ccomp,14,O,me,you,0,0
270,3,you,you,PRON,PRP,5,nsubj,14,O,hear,reconstruct,0,0
271,4,reconstruct,reconstruct,VERB,VB,3,ccomp,14,O,you,the,0,0
272,5,the,the,DET,DT,7,det,14,O,reconstruct,man,0,0
273,6,man,man,NOUN,NN,5,dobj,14,O,the,by,0,0
274,7,by,by,ADP,IN,5,prep,14,O,man,an,0,0
275,8,an,an,DET,DT,10,det,14,O,by,examination,0,0
276,9,examination,examination,NOUN,NN,8,pobj,14,O,an,of,0,0
277,10,of,of,ADP,IN,10,prep,14,O,examination,it,0,0
278,11,it,it,PRON,PRP,11,pobj,14,O,of,.,0,0
279,12,.,.,PUNCT,.,1,punct,14,O,it,"""",0,0
280,13,"""","""",PUNCT,'',1,punct,14,O,.,"""",0,0
281,0,"""","""",PUNCT,``,3,punct,15,O,"""",I,0,0
282,1,I,I,PRON,PRP,3,nsubj,15,O,"""",think,0,0
283,2,think,think,VERB,VBP,0,ROOT,15,O,I,",",0,0
284,3,",",",",PUNCT,",",6,punct,15,O,think,"""",0,0
285,4,"""","""",PUNCT,'',6,punct,15,O,",",said,0,0
286,5,said,say,VERB,VBD,3,ccomp,15,O,"""",I,0,0
287,6,I,I,PRON,PRP,6,nsubj,15,O,said,",",0,0
288,7,",",",",PUNCT,",",6,punct,15,O,I,following,0,0
289,8,following,follow,VERB,VBG,3,prep,15,O,",",as,0,0
290,9,as,as,ADV,RB,11,advmod,15,O,following,far,0,0
291,10,far,far,ADV,RB,9,advmod,15,O,as,as,0,0
292,11,as,as,SCONJ,IN,14,mark,15,O,far,I,0,0
293,12,I,I,PRON,PRP,14,nsubj,15,O,as,could,0,0
294,13,could,could,AUX,MD,11,advcl,15,O,I,the,0,0
295,14,the,the,DET,DT,16,det,15,O,could,methods,0,0
296,15,methods,method,NOUN,NNS,9,dobj,15,O,the,of,0,0
297,16,of,of,ADP,IN,16,prep,15,O,methods,my,0,0
298,17,my,my,PRON,PRP$,19,poss,15,O,of,companion,0,0
299,18,companion,companion,NOUN,NN,17,pobj,15,O,my,",",0,0
300,19,",",",",PUNCT,",",3,punct,15,O,companion,"""",0,0
301,20,"""","""",PUNCT,'',3,punct,15,O,",",that,0,0
302,21,that,that,SCONJ,IN,25,mark,15,O,"""",Dr.,0,0
303,22,Dr.,Dr.,PROPN,NNP,24,compound,15,O,that,Mortimer,0,0
304,23,Mortimer,Mortimer,PROPN,NNP,25,nsubj,15,O,Dr.,is,0,0
305,24,is,be,AUX,VBZ,3,ccomp,15,O,Mortimer,a,0,0
306,25,a,a,DET,DT,31,det,15,O,is,successful,0,0
307,26,successful,successful,ADJ,JJ,31,amod,15,O,a,",",0,0
308,27,",",",",PUNCT,",",31,punct,15,O,successful,elderly,0,0
309,28,elderly,elderly,ADJ,JJ,31,amod,15,O,",",medical,0,0
310,29,medical,medical,ADJ,JJ,31,amod,15,O,elderly,man,0,0
311,30,man,man,NOUN,NN,25,attr,15,O,medical,",",0,0
312,31,",",",",PUNCT,",",33,punct,15,O,man,well-esteemed,0,0
313,32,well-esteemed,well-esteeme,VERB,VBD,31,acl,15,O,",",since,0,0
314,33,since,since,SCONJ,IN,33,prep,15,O,well-esteemed,those,0,0
315,34,those,those,PRON,DT,34,pobj,15,O,since,who,0,0
316,35,who,who,PRON,WP,37,nsubj,15,O,those,know,0,0
317,36,know,know,VERB,VBP,35,relcl,15,O,who,him,0,0
318,37,him,he,PRON,PRP,37,dobj,15,O,know,give,0,0
319,38,give,give,VERB,VB,25,conj,15,O,him,him,0,0
320,39,him,he,PRON,PRP,39,dative,15,O,give,this,0,0
321,40,this,this,DET,DT,42,det,15,O,him,mark,0,0
322,41,mark,mark,NOUN,NN,39,dobj,15,O,this,of,0,0
323,42,of,of,ADP,IN,42,prep,15,O,mark,their,0,0
324,43,their,their,PRON,PRP$,45,poss,15,O,of,appreciation,0,0
325,44,appreciation,appreciation,NOUN,NN,43,pobj,15,O,their,.,0,0
326,45,.,.,PUNCT,.,3,punct,15,O,appreciation,"""",0,0
327,46,"""","""",PUNCT,'',3,punct,15,O,.,"""",0,0
328,0,"""","""",PUNCT,``,2,punct,16,O,"""",Good,0,0
329,1,Good,good,ADJ,JJ,0,ROOT,16,O,"""",!,0,0
330,2,!,!,PUNCT,.,2,punct,16,O,Good,"""",0,0
331,3,"""","""",PUNCT,'',2,punct,16,O,!,said,0,0
332,0,said,say,VERB,VBD,0,ROOT,16,O,"""",Holmes,0,0
333,1,Holmes,Holmes,PROPN,NNP,1,nsubj,16,O,said,.,0,0
334,2,.,.,PUNCT,.,1,punct,16,O,Holmes,"""",0,0
335,0,"""","""",PUNCT,``,2,punct,17,O,.,Excellent,0,0
336,1,Excellent,excellent,ADJ,JJ,0,ROOT,17,O,"""",!,0,0
337,2,!,!,PUNCT,.,2,punct,17,O,Excellent,"""",0,0
338,3,"""","""",PUNCT,'',2,punct,17,O,!,"""",0,0
339,0,"""","""",PUNCT,``,3,punct,18,O,"""",I,0,0
340,1,I,I,PRON,PRP,3,nsubj,18,O,"""",think,0,0
341,2,think,think,VERB,VBP,0,ROOT,18,O,I,also,0,0
342,3,also,also,ADV,RB,3,advmod,18,O,think,that,0,0
343,4,that,that,SCONJ,IN,8,mark,18,O,also,the,0,0
344,5,the,the,DET,DT,7,det,18,O,that,probability,0,0
345,6,probability,probability,NOUN,NN,8,nsubj,18,O,the,is,0,0
346,7,is,be,AUX,VBZ,3,ccomp,18,O,probability,in,0,0
347,8,in,in,ADP,IN,8,prep,18,O,is,favour,0,0
348,9,favour,favour,NOUN,NN,9,pobj,18,O,in,of,0,0
349,10,of,of,ADP,IN,10,prep,18,O,favour,his,0,0
350,11,his,his,PRON,PRP$,13,nsubj,18,O,of,being,0,0
351,12,being,be,AUX,VBG,11,pcomp,18,O,his,a,0,0
352,13,a,a,DET,DT,16,det,18,O,being,country,0,0
353,14,country,country,NOUN,NN,16,compound,18,O,a,practitioner,0,0
354,15,practitioner,practitioner,NOUN,NN,13,attr,18,O,country,who,0,0
355,16,who,who,PRON,WP,18,nsubj,18,O,practitioner,does,0,0
356,17,does,do,VERB,VBZ,16,relcl,18,O,who,a,0,0
357,18,a,a,DET,DT,21,det,18,O,does,great,0,0
358,19,great,great,ADJ,JJ,21,amod,18,O,a,deal,0,0
359,20,deal,deal,NOUN,NN,18,dobj,18,O,great,of,0,0
360,21,of,of,ADP,IN,21,prep,18,O,deal,his,0,0
361,22,his,his,PRON,PRP$,24,nsubj,18,O,of,visiting,0,0
362,23,visiting,visit,VERB,VBG,22,pcomp,18,O,his,on,0,0
363,24,on,on,ADP,IN,24,prep,18,O,visiting,foot,0,0
364,25,foot,foot,NOUN,NN,25,pobj,18,O,on,.,0,0
365,26,.,.,PUNCT,.,3,punct,18,O,foot,"""",0,0
366,27,"""","""",PUNCT,'',3,punct,18,O,.,"""",0,0
367,0,"""","""",PUNCT,``,3,punct,19,O,"""",Why,0,0
368,1,Why,why,SCONJ,WRB,3,advmod,19,O,"""",so,0,0
369,2,so,so,ADV,RB,0,ROOT,19,O,Why,?,0,0
370,3,?,?,PUNCT,.,3,punct,19,O,so,"""",0,0
371,4,"""","""",PUNCT,'',3,punct,19,O,?,"""",0,0
372,0,"""","""",PUNCT,``,15,punct,20,O,"""",Because,0,0
373,1,Because,because,SCONJ,IN,15,mark,20,O,"""",this,0,0
374,2,this,this,DET,DT,4,det,20,O,Because,stick,0,0
375,3,stick,stick,NOUN,NN,15,nsubjpass,20,O,this,",",0,0
376,4,",",",",PUNCT,",",15,punct,20,O,stick,though,0,0
377,5,though,though,SCONJ,IN,15,mark,20,O,",",originally,0,0
378,6,originally,originally,ADV,RB,15,advmod,20,O,though,a,0,0
379,7,a,a,DET,DT,11,det,20,O,originally,very,0,0
380,8,very,very,ADV,RB,10,advmod,20,O,a,handsome,0,0
381,9,handsome,handsome,ADJ,JJ,11,amod,20,O,very,one,0,0
382,10,one,one,NOUN,NN,15,nsubjpass,20,O,handsome,has,0,0
383,11,has,have,AUX,VBZ,15,aux,20,O,one,been,0,0
384,12,been,be,AUX,VBN,15,auxpass,20,O,has,so,0,0
385,13,so,so,ADV,RB,15,advmod,20,O,been,knocked,0,0
386,14,knocked,knock,VERB,VBN,0,ROOT,20,O,so,about,0,0
